ID_QUESTAO,LABEL_QUESTAO,ENUNCIADO_QUESTAO,ALTERNATIVA_A,ALTERNATIVA_B,ALTERNATIVA_C,ALTERNATIVA_D,ALTERNATIVA_E
101,0,"A perfuração de poços para a extração de petróleo causa soterramento do leito
submarino, contaminação química e aumento da turbidez da água. Além disso, o vazamento
desses hidrocarbonetos gera efeitos adversos, em especial no metabolismo de organismos
aquáticos, influenciando as cadeias alimentares de ecossistemas marinhos. Essas
consequências negativas advêm das propriedades do petróleo, uma mistura oleosa de
substâncias orgânicas, de coloração escura e menos densa que a água.
A consequência do vazamento dessa mistura na produtividade primária do ecossistema é o(a)","redução da atividade do fitoplâncton, em decorrência da alteração na zona fótica.","intoxicação dos animais filtradores, em decorrência da absorção de óleo.","bioacumulação do óleo no zooplâncton, por causa da sua agregação.","mortandade dos peixes, causada pela obstrução das suas brânquias.","dizimação da população de bentônicos, pelo seu soterramento.
"
102,0,"A  combustão completa de combustíveis fósseis produz água e dióxido de carbono (CO2,
massa molar 44 g mol−1). A União Europeia estabeleceu, desde 2012, limite de emissão
veicular de 130 g de CO2 por quilômetro rodado (valor aplicável a uma média de veículos de
um mesmo fabricante), tendo como penalidade multa, caso o fabricante ultrapasse a meta. A
gasolina é uma mistura de hidrocarbonetos com cerca de oito carbonos em sua composição,
incluindo isômeros do octano (C8H18). Considere que em uma cidade o consumo médio diário
dos carros de um fabricante seja de 10 km L−1 de gasolina, formada apenas por
octano (massa molar 114 g mol−1) e que sua densidade seja 0,70 kg L−1.
A diferença de emissão de CO2 dos carros desse fabricante em relação ao limite estabelecido
na União Europeia é","gasolina é uma mistura de hidrocarbonetos com cerca de oito carbonos em sua composição,
incluindo isômeros do octano (C8H18). Considere que em uma cidade o consumo médio diário
dos carros de um fabricante seja de 10 km L−1 de gasolina, formada apenas por
octano (massa molar 114 g mol−1) e que sua densidade seja 0,70 kg L−1.
A diferença de emissão de CO2 dos carros desse fabricante em relação ao limite estabelecido
na União Europeia é",60% menor.,46% menor.,108% maior.,"66% maior.
"
103,0,"No Autódromo de Interlagos, um carro de Fórmula 1 realiza a curva S do Senna numa
trajetória curvilínea. Enquanto percorre esse trecho, o velocímetro do carro indica velocidade
constante.
Quais são a direção e o sentido da aceleração do carro?","Radial, apontada para fora da curva.","Radial, apontada para dentro da curva.","Aceleração nula, portanto, sem direção nem sentido.","Tangencial, apontada no sentido da velocidade do carro.","Tangencial, apontada no sentido contrário à velocidade do carro.
"
104,0,"Alterações no genoma podem ser ocasionadas por falhas nos mecanismos de cópia e
manutenção do DNA, que ocorrem aleatoriamente. Assim, a cada ciclo de replicação do DNA,
existe uma taxa de erro mais ou menos constante de troca de nucleotídeos, independente da
espécie. Partindo-se desses pressupostos, foi construída uma árvore filogenética de alguns
mamíferos, conforme a figura, na qual o comprimento da linha horizontal é proporcional ao
tempo de surgimento da espécie a partir de seu ancestral mais próximo.
ALBERTS, B. et al. Biologia molecular da célula. Nova York: Garland Publisher, 2008.
Qual espécie é geneticamente mais semelhante ao seu ancestral mais próximo?",Cavalo,Ovelha,Veado,Porco,"Vaca
"
105,0,"Os materiais são classificados pela sua natureza química e estrutural, e as diferentes
aplicações requerem características específicas, como a condutibilidade térmica, quando são
utilizados, por exemplo, em utensílios de cozinha. Assim, os alimentos são acondicionados em
recipientes que podem manter a temperatura após o preparo. Considere a tabela, que
apresenta a condutibilidade térmica (
) de diferentes materiais utilizados na confecção de
panelas.
Qual dos materiais é o recomendado para manter um alimento aquecido por um maior
intervalo de tempo?",I,II,III,IV,"V
"
106,0,"Nas últimas décadas vários países, inclusive o Brasil, têm testemunhado uma grande
prolifera 
ção de bactérias patogênicas, envol 
vidas em uma variedade de doenças e que
apresentam resistência a múlti 
plos antibióticos. Atualmente têm se destacado as superbac- 
térias que acumularam vários genes determinantes de resis 
tência, a ponto de se tornarem
resistentes a praticamente todos os antimicrobianos.
FERREIRA, F. A.; CRUZ, R. S.; FIGUEIREDO, A. M. S. O problema da resistência a antibióticos. 
Ciência Hoje, v.48, n.287, 2011 (adaptado).
Essa resistência tem ocorrido porque os(as)",bactérias patogênicas se multiplicam de maneira acelerada.,antibióticos são utilizados pela população de maneira indiscriminada.,bactérias possuem plasmídeos que contêm genes relacionados à virulência.,bactérias podem ser transmitidas para um indivíduo utilizando várias estratégias.,"serviços de saúde precários constituem importantes focos de bactérias patogênicas.
"
107,0,"A ampla diversidade genética é uma característica presente nas plantas fanerógamas,
que ocorreu em razão da presença de estruturas reprodutivas que lhes garantiram o sucesso
adaptativo. Os insetos contribuem para a manutenção e o aumento da variabilidade genética,
ao transportarem diretamente para o órgão reprodutivo da flor uma importante estrutura desse
grupo vegetal.
Qual estrutura vegetal carregada pelos insetos está diretamente relacionada ao incremento do
referido processo nesse grupo vegetal?","Arquegônio, que protege o embrião multicelular","Broto, que propaga vegetativamente as plantas","Fruto, que garante uma maior eficiência na dispersão","Grão de pólen, que favorece a fecundação cruzada","Semente alada, que favorece a dispersão aérea
"
108,0,"Reflorestamento é uma ação ambiental que visa repovoar áreas que tiveram a vegetação
removida. Uma empresa deseja fazer um replantio de árvores e dispõe de cinco produtos que
podem ser utilizados para corrigir o pH do solo que se encontra básico. As substâncias
presentes nos produtos disponíveis são: CH3COONa, NH4Cl, NaBr, NaOH e KCl.
A substância a ser adicionada ao solo para neutralizá-lo é",CH3COONa.,NH4Cl.,NaBr.,NaOH.,"KCl.
"
109,0,"Analise o esquema de uma metodologia utilizada na produção de vacinas contra a
hepatite B.
Disponível em: www.ied.edu.hk. Acesso em: 15 out. 2015 (adaptado).
Nessa vacina, a resposta imune será induzida por um(a)",vírus.,bactéria.,proteína.,levedura.,"ácido nucleico.
"
110,0,"Um fabricante de termômetros orienta em seu manual de instruções que o instrumento
deve ficar três minutos em contato com o corpo para aferir a temperatura. Esses termômetros
são feitos com o bulbo preenchido com mercúrio conectado a um tubo capilar de vidro.
De acordo com a termodinâmica, esse procedimento se justifica, pois é necessário que",o termômetro e o corpo tenham a mesma energia interna.,a temperatura do corpo passe para o termômetro.,o equilíbrio térmico entre os corpos seja atingido.,a quantidade de calor dos corpos seja a mesma.,"o calor do termômetro passe para o corpo.
"
111,0,"Entre os materiais mais usados no nosso dia a dia destacam-se os plásticos, constituídos
por polímeros. A consequência de seu amplo uso é a geração de resíduos, que necessitam de
um destino final adequado em termos ambientais. Uma das alternativas tem sido a reciclagem,
que deve respeitar as características dos polímeros que compõem o material. Esse processo
envolve algumas etapas, como: separação do resíduo (catação), moagem, hidrólise, lavagem,
secagem, pirólise e aquecimento (fusão).
SPINACÉ, M. A. S., PAOLI, M. A. D. Tecnologia de reciclagem de polímeros. Química Nova, n.1, 2005 (adaptado). 
Quais das etapas citadas do processo de reciclagem são classificadas como métodos
químicos?",Hidrólise e pirólise,Secagem e pirólise,Moagem e lavagem,Separação e hidrólise,"Secagem e aquecimento
"
